no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz,boardSize,CSRcmte,CEOdual,freeFloatShareholding,insiderShareholding,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,industry_1010,industry_1510,industry_2010,industry_3010,industry_3020,industry_3030,industry_3510,industry_4010,industry_4020,industry_4030,industry_4040,industry_4050,industry_4510,industry_4520,industry_5010,industry_5020,industry_5510,industry_5520,industry_6010,industry_6510,g_family,g_gov,propensity_score,_weight
6.0,2015,5510,-0.38,-0.22,-0.54,77.42,69.81,85.03,39.1,47.62911507,30.56227328,0.0,1.0,0.0,63.28,10.47,0.552,-0.0467,0.0089,2.0,1.0,1.0,1.37387,6.0,1.0,0.0,0.35,0.000112918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.28,0.07525541007187761,1
6.0,2016,5510,-0.42,-0.29,-0.55,78.08,67.65,88.5,36.02,38.90063425,33.13180169,0.0,1.0,0.0,53.31,10.47,0.538,0.0094,0.0086,2.0,1.0,1.0,1.55536,6.0,1.0,0.0,0.35,0.000112918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.31,0.0695936267617366,1
6.0,2017,5510,-0.31,-0.18,-0.45,77.78,70.33,85.23,46.56,52.76351555,40.356711,0.0,1.0,0.0,43.54,10.47,0.5083,0.0182,0.0091,2.0,1.0,1.0,1.49937,6.0,1.0,0.0,0.35,0.000112918,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.54,0.06620930780695604,1
6.0,2018,5510,-0.32,-0.31,-0.33,71.51,70.03,72.98,39.79,39.23286016,40.356711,0.0,1.0,0.0,43.47,10.52,0.5026,0.0416,0.0105,2.0,1.0,1.0,1.31977,5.0,1.0,0.0,0.0,0.000112918,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.47,0.061572631088082495,1
6.0,2019,5510,-0.25,-0.23,-0.26,71.14,75.78,66.49,46.56,52.76351555,40.356711,0.0,1.0,0.0,72.78,10.48,0.4719,0.0121,0.0119,2.0,1.0,1.0,1.01082,6.0,1.0,0.0,0.0,0.000112918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.78,0.07263927211899597,1
6.0,2020,5510,-0.23,-0.2,-0.27,69.94,72.32,67.56,46.56,52.76351555,40.356711,0.0,1.0,0.0,81.86,10.5,0.4072,0.046,0.0066,2.0,1.0,1.0,1.02074,6.0,1.0,0.0,0.35,0.000112918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.86,0.07515759025334498,1
6.0,2021,5510,-0.23,-0.17,-0.28,70.09,71.33,68.84,47.54,54.72666868,40.356711,0.0,1.0,0.0,71.44,10.52,0.2887,0.0627,0.027,2.0,1.0,1.0,0.01538,5.0,1.0,0.0,0.35,0.000112918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71.44,0.059506605747211706,1
6.0,2022,5510,-0.22,-0.14,-0.31,74.87,77.23,72.51,52.66,63.51555421,41.80773881,0.0,1.0,0.0,82.21,10.52,0.133,0.1187,0.0267,2.0,1.0,1.0,-0.967,5.0,1.0,0.0,0.35,0.000112918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.21,0.05908468351623812,1
6.0,2023,5510,-0.23,-0.12,-0.35,77.25,75.57,78.92,53.95,63.51555421,44.37726723,0.0,1.0,0.0,71.3,10.63,0.0864,0.0843,0.0165,2.0,1.0,1.0,-2.56003,5.0,1.0,0.0,0.35,0.000112918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71.3,0.05963535195705459,1
18.0,2015,5010,-0.22,-0.2,-0.25,41.91,36.26,47.56,19.63,16.21866506,23.03506651,0.0,1.0,0.0,59.03,10.58,0.1515,0.1329,0.0295,2.0,1.0,1.0,-2.43864,7.0,1.0,0.0,0.49,0.000474949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03,0.05415056563394259,1
